comments,date_string,datetime,engagement_score,favorites,name,party,retweets,stream_id,text,tweet_url,twitter_username,unix_time
8689,7:55 AM - 5 May 2019,2019-05-05 07:55:00,25628.176884626755,94366,Donald Trump,Republican,20529,1125051346456121346,"I am pleased to inform all of those that believe in a strong, fair and sound Immigration Policy that Mark Morgan will be joining the Trump Administration as the head of our hard working men and women of ICE. Mark is a true believer and American Patriot. He will do a great job!",https://twitter.com/realDonaldTrump/status/1125051346456121346,realDonaldTrump,1557068118
2688,6:44 PM - 4 May 2019,2019-05-04 18:44:00,9344.467765841446,38478,Donald Trump,Republican,7889,1124852373338435584,Mike has been a fantastic Senator!,https://twitter.com/realDonaldTrump/status/1124852373338435584,realDonaldTrump,1557020679
32255,11:31 AM - 4 May 2019,2019-05-04 11:31:00,62236.686366993614,161876,Donald Trump,Republican,46170,1124743267873116160,"How can it be possible that James Woods (and many others), a strong but responsible Conservative Voice, is banned from Twitter? Social Media & Fake News Media, together with their partner, the Democrat Party, have no idea the problems they are causing for themselves. VERY UNFAIR!",https://twitter.com/realDonaldTrump/status/1124743267873116160,realDonaldTrump,1556994666
6077,10:53 AM - 4 May 2019,2019-05-04 10:53:00,18784.257521510397,64832,Donald Trump,Republican,16823,1124733856526077953,"Today, May 4th - is International Firefighters Day! We remember all of those who put their lives on the line to save others, and are grateful to those who continue to do so 24/7/365. We love our great firefighters, thank you! #ThankAFirefighter",https://twitter.com/realDonaldTrump/status/1124733856526077953,realDonaldTrump,1556992422
18443,6:49 AM - 4 May 2019,2019-05-04 06:49:00,32780.045516199854,90223,Donald Trump,Republican,21168,1124672389416144905,"Very good call yesterday with President Putin of Russia. Tremendous potential for a good/great relationship with Russia, despite what you read and see in the Fake News Media. Look how they have misled you on “Russia Collusion.” The World can be a better and safer place. Nice!",https://twitter.com/realDonaldTrump/status/1124672389416144905,realDonaldTrump,1556977767
21310,6:42 AM - 4 May 2019,2019-05-04 06:42:00,33479.347994862655,87758,Donald Trump,Republican,20066,1124670603179565056,"Anything in this very interesting world is possible, but I believe that Kim Jong Un fully realizes the great economic potential of North Korea, & will do nothing to interfere or end it. He also knows that I am with him & does not want to break his promise to me. Deal will happen!",https://twitter.com/realDonaldTrump/status/1124670603179565056,realDonaldTrump,1556977341
23328,5:34 AM - 4 May 2019,2019-05-04 05:34:00,39396.482135228594,94853,Donald Trump,Republican,27634,1124653429366906882,"When will the Radical Left Wing Media apologize to me for knowingly getting the Russia Collusion Delusion story so wrong? The real story is about to happen! Why is @nytimes, @washingtonpost, @CNN, @MSNBC allowed to be on Twitter & Facebook. Much of what they do is FAKE NEWS!",https://twitter.com/realDonaldTrump/status/1124653429366906882,realDonaldTrump,1556973247
8623,5:00 AM - 4 May 2019,2019-05-04 05:00:00,35996.833104566664,131228,Donald Trump,Republican,41220,1124645001533771776,So great to watch this!,https://twitter.com/realDonaldTrump/status/1124645001533771776,realDonaldTrump,1556971237
6306,4:56 AM - 4 May 2019,2019-05-04 04:56:00,19320.383052986752,71096,Donald Trump,Republican,16086,1124643901430796288,"There is nothing easy about a USA Infrastructure Plan, especially when our great Country has spent an astounding 7 trillion dollars in the Middle East over the last 19 years, but I am looking hard at a bipartisan plan of 1 to 2 trillion dollars. Badly needed!",https://twitter.com/realDonaldTrump/status/1124643901430796288,realDonaldTrump,1556970975
11934,6:52 PM - 3 May 2019,2019-05-03 18:52:00,26377.468311180128,79855,Donald Trump,Republican,19258,1124491964794249216,“They wanted to know what Trump was up to with the Russians - which of course is nonsense. This whole thing was a complete setup.” George Papadopoulos to @seanhannity,https://twitter.com/realDonaldTrump/status/1124491964794249216,realDonaldTrump,1556934751
3706,4:45 PM - 3 May 2019,2019-05-03 16:45:00,11906.28321064677,44307,Donald Trump,Republican,10279,1124459967682158592,"As the great people of IA, IL, & MO continue to confront the devastating flooding, know we are here for you and ready to help! My team remains in close contact with @IAGovernor, @GovParsonMO, @GovPritzker, and the local officials managing the impacts of the destructive flooding.",https://twitter.com/realDonaldTrump/status/1124459967682158592,realDonaldTrump,1556927122
25675,4:25 PM - 3 May 2019,2019-05-03 16:25:00,52528.10889426764,123480,Donald Trump,Republican,45716,1124454991341793281,"So surprised to see Conservative thinkers like James Woods banned from Twitter, and Paul Watson banned from Facebook!",https://twitter.com/realDonaldTrump/status/1124454991341793281,realDonaldTrump,1556925935
14608,4:23 PM - 3 May 2019,2019-05-03 16:23:00,34498.56116734387,101359,Donald Trump,Republican,27730,1124454393749934080,The wonderful Diamond and Silk have been treated so horribly by Facebook. They work so hard and what has been done to them is very sad - and we’re looking into. It’s getting worse and worse for Conservatives on social media!,https://twitter.com/realDonaldTrump/status/1124454393749934080,realDonaldTrump,1556925793
46818,3:55 PM - 3 May 2019,2019-05-03 15:55:00,79373.80336540152,198579,Donald Trump,Republican,53788,1124447302544965634,"I am continuing to monitor the censorship of AMERICAN CITIZENS on social media platforms. This is the United States of America — and we have what’s known as FREEDOM OF SPEECH! We are monitoring and watching, closely!!",https://twitter.com/realDonaldTrump/status/1124447302544965634,realDonaldTrump,1556924102
4289,3:53 PM - 3 May 2019,2019-05-03 15:53:00,12998.14477635512,41513,Donald Trump,Republican,12334,1124446809802276865,The International Association of Firefighters Union is rebelling on their very foolish leader. Perhaps they will vote him out of office. He doesn’t get it! https://www.facebook.com/153080620724/posts/10162491434245725?s=1427081020&v=i&sfns=mo …,https://twitter.com/realDonaldTrump/status/1124446809802276865,realDonaldTrump,1556923985
5329,12:39 PM - 3 May 2019,2019-05-03 12:39:00,17921.79135860858,64771,Donald Trump,Republican,16677,1124398008223895554,"Fred Keller of the Great State of Pennsylvania has been an outstanding State Rep. Now he is running as the Republican Nominee for Congress, and has my Complete and Total Endorsement. Strong on Crime, Second Amendment, Military, Vets, and Healthcare. He will do a fantastic job!",https://twitter.com/realDonaldTrump/status/1124398008223895554,realDonaldTrump,1556912350
16799,10:06 AM - 3 May 2019,2019-05-03 10:06:00,32844.09429434322,101397,Donald Trump,Republican,20800,1124359596209057792,"....We discussed Trade, Venezuela, Ukraine, North Korea, Nuclear Arms Control and even the “Russian Hoax.” Very productive talk!",https://twitter.com/realDonaldTrump/status/1124359596209057792,realDonaldTrump,1556903191
26035,10:06 AM - 3 May 2019,2019-05-03 10:06:00,46707.64813160448,136930,Donald Trump,Republican,28583,1124359594418032640,"Had a long and very good conversation with President Putin of Russia. As I have always said, long before the Witch Hunt started, getting along with Russia, China, and everyone is a good thing, not a bad thing....",https://twitter.com/realDonaldTrump/status/1124359594418032640,realDonaldTrump,1556903191
14576,9:22 AM - 3 May 2019,2019-05-03 09:22:00,30288.344530843333,83204,Donald Trump,Republican,22911,1124348449154007043,We can all agree that AMERICA is now #1. We are the ENVY of the WORLD — and the best is yet to come!,https://twitter.com/realDonaldTrump/status/1124348449154007043,realDonaldTrump,1556900534
8139,8:18 AM - 3 May 2019,2019-05-03 08:18:00,22129.419222553763,70685,Donald Trump,Republican,18837,1124332495217070080,"“The U.S. Created 263,000 Jobs in April, Unemployment Fell to Lowest Level Since 1969”",https://twitter.com/realDonaldTrump/status/1124332495217070080,realDonaldTrump,1556896730
9641,6:35 AM - 3 May 2019,2019-05-03 06:35:00,26117.25802028179,82673,Donald Trump,Republican,22351,1124306570773450752,"JOBS, JOBS, JOBS!

“Jobs surge in April, unemployment rate falls to the lowest since 1969”",https://twitter.com/realDonaldTrump/status/1124306570773450752,realDonaldTrump,1556890549
12708,5:22 AM - 3 May 2019,2019-05-03 05:22:00,30088.916594328828,87712,Donald Trump,Republican,24439,1124288000396021760,"Finally, Mainstream Media is getting involved - too “hot” to avoid. Pulitzer Prize anyone? The New York Times, on front page (finally), “Details effort to spy on Trump Campaign.” @foxandfriends  This is bigger than WATERGATE, but the reverse!",https://twitter.com/realDonaldTrump/status/1124288000396021760,realDonaldTrump,1556886122
16552,8:45 PM - 2 May 2019,2019-05-02 20:45:00,37368.25133895947,123701,Donald Trump,Republican,25485,1124158008844541954,"...at every turn in attempts to gain access. But now Republicans and Democrats must come together for the good of the American people. No more costly & time consuming investigations. Lets do Immigration (Border), Infrastructure, much lower drug prices & much more - and do it now!",https://twitter.com/realDonaldTrump/status/1124158008844541954,realDonaldTrump,1556855129
17505,8:45 PM - 2 May 2019,2019-05-02 20:45:00,38988.47411857567,127181,Donald Trump,Republican,26621,1124158007921848320,"OK, so after two years of hard work and each party trying their best to make the other party look as bad as possible, it’s time to get back to business. The Mueller Report strongly stated that there was No Collusion with Russia (of course) and, in fact, they were rebuffed.....",https://twitter.com/realDonaldTrump/status/1124158007921848320,realDonaldTrump,1556855129
